nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
32,0.8046875,0.7395833333333334,0.766671257625718,0.6814863968148639,24,33,2
33,0.8072916666666666,0.7447916666666666,0.7692007797270954,0.6895356895356894,25,33,2
1,0.6796875,0.65625,0.555450977439363,0.5478806907378336,1,33,2
2,0.7447916666666666,0.7864583333333334,0.6943469785575049,0.7455309519961208,1,33,2
3,0.7734375,0.7447916666666666,0.7279633897090556,0.692779936648924,2,33,2
4,0.765625,0.734375,0.7178591254939098,0.686545664073754,3,33,2
5,0.7838541666666666,0.7447916666666666,0.7404708200672601,0.6958784548246323,3,33,2
6,0.7890625,0.7447916666666666,0.7467245352463622,0.6988379909728224,4,33,2
7,0.7890625,0.75,0.7492563302619168,0.7005847953216374,5,33,2
8,0.7838541666666666,0.7447916666666666,0.741782858439128,0.6895356895356894,5,33,2
9,0.796875,0.7447916666666666,0.7554779087613885,0.6895356895356894,5,33,2
10,0.796875,0.7447916666666666,0.7554779087613885,0.6895356895356894,6,33,2
11,0.7994791666666666,0.7447916666666666,0.7616387337057728,0.6895356895356894,7,33,2
12,0.8046875,0.7552083333333334,0.7678299354277007,0.7022077022077022,8,33,2
13,0.8125,0.75,0.775438596491228,0.6942269409422694,9,33,2
14,0.8098958333333334,0.75,0.7717393959627709,0.6974789915966386,9,33,2
15,0.8098958333333334,0.7552083333333334,0.7717393959627709,0.7022077022077022,10,33,2
16,0.8020833333333334,0.7447916666666666,0.7592317592317592,0.6958784548246323,11,33,2
17,0.796875,0.734375,0.7567251461988305,0.6768636768636769,12,33,2
18,0.7942708333333334,0.7447916666666666,0.7529782504254643,0.692779936648924,13,33,2
19,0.7994791666666666,0.7395833333333334,0.7579864947820749,0.6881091617933723,14,33,2
20,0.7994791666666666,0.734375,0.7592319656045665,0.6768636768636769,15,33,2
21,0.796875,0.7395833333333334,0.7542016806722689,0.6848739495798319,16,33,2
22,0.796875,0.7239583333333334,0.7542016806722689,0.6605170975813177,16,33,2
23,0.7994791666666666,0.7395833333333334,0.7592319656045665,0.6881091617933723,17,33,2
24,0.796875,0.7291666666666666,0.7579440762889931,0.6756335282651073,18,33,2
25,0.7864583333333334,0.7395833333333334,0.7442495126705653,0.6941506308143239,19,33,2
26,0.7864583333333334,0.7395833333333334,0.7442495126705653,0.6911991765311374,20,33,2
27,0.78125,0.7239583333333334,0.7366685171276491,0.6742533371746855,20,33,2
28,0.78125,0.7239583333333334,0.7366685171276491,0.6773109243697479,21,33,2
29,0.7916666666666666,0.734375,0.7492081115501421,0.686545664073754,22,33,2
30,0.7916666666666666,0.734375,0.7492081115501421,0.686545664073754,23,33,2
31,0.7916666666666666,0.7291666666666666,0.7492081115501421,0.6788471435923829,24,33,2
32,0.7942708333333334,0.7291666666666666,0.7517004297114794,0.6788471435923829,24,33,2
33,0.796875,0.7395833333333334,0.7542016806722689,0.6911991765311374,25,33,2
1,0.7395833333333334,0.7552083333333334,0.6703296703296704,0.6882147669557406,0,33,2
2,0.7369791666666666,0.75,0.66999923421852,0.6835164835164835,1,33,2
3,0.7552083333333334,0.7447916666666666,0.6989491242702253,0.6895356895356894,2,33,2
4,0.7578125,0.7552083333333334,0.7029717793247998,0.6989491242702253,3,33,2
5,0.7578125,0.7604166666666666,0.7029717793247998,0.7069674850696748,4,33,2
6,0.7864583333333334,0.7604166666666666,0.7415966386554622,0.7130604288499025,4,33,2
7,0.7786458333333334,0.7552083333333334,0.732842234499693,0.7053195310714169,4,33,2
8,0.7838541666666666,0.7760416666666666,0.7404708200672601,0.7275517275517276,5,33,2
9,0.7916666666666666,0.7708333333333334,0.7492081115501421,0.7197080291970803,6,33,2
10,0.7916666666666666,0.765625,0.7492081115501421,0.7117597998331944,7,33,2
11,0.7994791666666666,0.7604166666666666,0.7567120582548237,0.7069674850696748,8,33,2
12,0.7994791666666666,0.7604166666666666,0.7567120582548237,0.7069674850696748,9,33,2
13,0.8046875,0.7552083333333334,0.7654856807836687,0.7053195310714169,10,33,2
14,0.8046875,0.7552083333333334,0.7642725598526703,0.7082915791175044,11,33,2
